3	www.weatherforyou.com										
(Timestamp)	(Location)	(Conditions)	(Temperature) (°F °C)	Humidity (%)	Wind	(Wind Speed) (MPH)	Wind Gusts (MPH)	Barometer (in.)	Dewpoint (°F)	Wind Chill (°F)	Visibility (SM/Miles)
Tue Feb  2 03:25:00 2010	Portland, Oregon, United States (97201)	 Light Rain	 43 6 	93	ESE	10		29.88	41	37	9
Tue Feb  2 03:25:02 2010	Chicago, Illinois, United States (60601)	 Overcast	 28 -2 	74	E	5		30.18	21	24	8
Tue Feb  2 03:25:03 2010	San Antonio, Texas, United States (78201)	 Mist	 46 8 	84	Calm		 	29.94	41		
Tue Feb  2 03:25:04 2010	Indianapolis, Indiana, United States (46201)	 Overcast	 34 1 	56	Calm		 	30.17	20	31	
Tue Feb  2 03:25:05 2010	Boston, Massachusetts, United States (02101)	 Partly Cloudy	 27 -3 	43	NW	15	21	30.18	7	16	10
Tue Feb  2 03:25:06 2010	Jacksonville, Florida, United States (32099)	 Overcast	 57 14 	88	Calm		 	30.06	53		
Tue Feb  2 03:25:07 2010	Columbus, Ohio, United States (43085)	 Mostly Cloudy	 27 -3 	69	E	5		30.21	18	22	10
Tue Feb  2 03:25:09 2010	Dallas, Texas, United States (75201)	 Overcast	 42 6 	87	WSW	2		30.07	39		
Tue Feb  2 03:25:10 2010	Houston, Texas, United States (77001)	 Mist	 47 8 	100	NNE	3	5	29.99	47	46	
Tue Feb  2 03:25:11 2010	Seattle, Washington, United States (98101)	 Light Rain	 48 9 	82	Calm		 	29.85	43		10
Tue Feb  2 03:25:12 2010	Milwaukee, Wisconsin, United States (53201)	 Overcast	 25 -4 	74	Calm		 	30.18	18		7
Tue Feb  2 03:25:13 2010	Detroit, Michigan, United States (48201)	 Mostly Cloudy	 23 -5 	74	SW	3		30.24	16	19	10
Tue Feb  2 03:25:14 2010	Philadelphia, Pennsylvania, United States (19019)	 Mostly Cloudy	 30 -1 	59	SSW	8		30.30	18	23	10
Tue Feb  2 04:08:28 2010	San Jose, California, United States (95101)	 Overcast	 54 12 	68	Calm		 	29.89	44	53	
Tue Feb  2 04:08:30 2010	Charlotte, North Carolina, United States (28201)	 Partly Cloudy	 30 -1 	79	Calm		 	30.22	24		
Tue Feb  2 04:08:31 2010	San Diego, California, United States (92101)	 Partly Cloudy	 57 14 	84	Calm		 	30.09	52		
Tue Feb  2 04:08:32 2010	Denver, Colorado, United States (80214)	 Partly Cloudy	 39 4 	37	Calm		 	30.24	15		
Tue Feb  2 04:08:33 2010	Memphis, Tennessee, United States (37501)	 Overcast	 39 4 	75	Calm		 	30.12	32		10
Tue Feb  2 04:08:34 2010	Los Angeles, California, United States (90001)	 Clear	 59 15 	77	W	3		29.91	52		9
Tue Feb  2 04:08:35 2010	El Paso, Texas, United States (79901)	 Overcast	 54 12 	47	N	6		29.97	34	52	10
Tue Feb  2 04:08:36 2010	New York, New York, United States (10001)	 Clear	 30 -1 	47	VARIABLE	6		30.24	12	25	10
Tue Feb  2 04:08:37 2010	Baltimore, Maryland, United States (21201)	 Mostly Cloudy	 25 -4 	63	Calm		 	30.30	14		10
Tue Feb  2 04:08:38 2010	Las Vegas, Nevada, United States (89101)	 Mostly Cloudy	 53 12 	45	Calm		 	29.97	32		
Tue Feb  2 04:08:40 2010	Washington, D.C., United States (20001)	 Mostly Cloudy	 32 0 	60	S	3		30.30	19	29	10
Tue Feb  2 04:08:41 2010	Austin, Texas, United States (73301)	 Mist	 44 6 	92	Calm		 	30.02	41		
Tue Feb  2 04:08:42 2010	San Francisco, California, United States (94101)	 Overcast	 54 12 	72	NW	7		29.91	45	52	10
Tue Feb  2 04:08:43 2010	Oklahoma City, Oklahoma, United States (73101)	 Mist	 36 2 	88	Calm		 	30.11	33		
Tue Feb  2 04:08:44 2010	Nashville, Tennessee, United States (37201)	 Overcast	 36 2 	81	Calm		 	30.15	30		10
Tue Feb  2 04:08:45 2010	Fort Worth, Texas, United States (76101)	 Overcast	 45 7 	76	SSE	8		30.09	37	41	7
Tue Feb  2 04:08:47 2010	Phoenix, Arizona, United States (85001)	 Clear	 55 13 	57	SE	1	2	29.91	40		
Tue Feb  2 04:08:48 2010	Portland, Oregon, United States (97201)	 Light Rain	 43 6 	93	SE	9		29.85	41	38	10
Tue Feb  2 04:08:49 2010	Chicago, Illinois, United States (60601)	 Mostly Cloudy	 30 -1 	64	SSE	6		30.18	19	25	8
Tue Feb  2 04:08:50 2010	San Antonio, Texas, United States (78201)	 Mist	 46 8 	84	NE	2		29.94	42	43	
Tue Feb  2 04:08:51 2010	Indianapolis, Indiana, United States (46201)	 Overcast	 33 1 	58	E	2	3	30.16	20	31	
Tue Feb  2 04:08:52 2010	Boston, Massachusetts, United States (02101)	 Partly Cloudy	 27 -3 	43	NW	15	21	30.18	7	16	10
Tue Feb  2 04:08:54 2010	Jacksonville, Florida, United States (32099)	 Overcast	 56 13 	89	E	1	3	30.03	53		
Tue Feb  2 04:08:55 2010	Columbus, Ohio, United States (43085)	 Overcast	 27 -3 	69	ENE	3		30.18	18	23	10
Tue Feb  2 04:08:56 2010	Dallas, Texas, United States (75201)	 Overcast	 42 6 	95	Calm		 	30.10	41		
Tue Feb  2 04:08:57 2010	Houston, Texas, United States (77001)	 Mist	 47 8 	100	Calm		 	30.00	47		
Tue Feb  2 04:08:58 2010	Seattle, Washington, United States (98101)	 Overcast	 46 8 	87	S	6		29.85	43	44	10
Tue Feb  2 04:08:59 2010	Milwaukee, Wisconsin, United States (53201)	 Overcast	 27 -3 	80	Calm		 	30.15	21		7
Tue Feb  2 04:09:00 2010	Detroit, Michigan, United States (48201)	 Mostly Cloudy	 23 -5 	74	SW	3		30.24	16	19	10
Tue Feb  2 04:09:01 2010	Philadelphia, Pennsylvania, United States (19019)	 Mostly Cloudy	 30 -1 	59	SSW	8		30.30	18	23	10
Tue Feb  2 04:52:01 2010	San Jose, California, United States (95101)	 Overcast	 53 12 	70	Calm		 	29.88	44		
Tue Feb  2 04:52:02 2010	Charlotte, North Carolina, United States (28201)	 Partly Cloudy	 31 -1 	80	Calm		 	30.20	25		
Tue Feb  2 04:52:04 2010	San Diego, California, United States (92101)	 Mostly Cloudy	 57 14 	85	Calm		 	30.09	52		
Tue Feb  2 04:52:05 2010	Denver, Colorado, United States (80214)	 Partly Cloudy	 38 3 	36	S	1	4	30.26	14		
Tue Feb  2 04:52:06 2010	Memphis, Tennessee, United States (37501)	 Overcast	 39 4 	75	Calm		 	30.12	32		10
Tue Feb  2 04:52:07 2010	Los Angeles, California, United States (90001)	 Clear	 59 15 	77	W	3		29.91	52		9
Tue Feb  2 04:52:08 2010	El Paso, Texas, United States (79901)	 Overcast	 54 12 	47	N	6		29.97	34	52	10
Tue Feb  2 04:52:09 2010	New York, New York, United States (10001)	 Clear	 30 -1 	47	VARIABLE	6		30.24	12	25	10
Tue Feb  2 04:52:11 2010	Baltimore, Maryland, United States (21201)	 Mostly Cloudy	 23 -5 	68	Calm		 	30.30	14		10
Tue Feb  2 04:52:12 2010	Las Vegas, Nevada, United States (89101)	 Mostly Cloudy	 51 11 	50	Calm		 	29.97	33		
Tue Feb  2 04:52:13 2010	Washington, D.C., United States (20001)	 Mostly Cloudy	 32 0 	60	S	3		30.30	19	29	10
Tue Feb  2 04:52:14 2010	Austin, Texas, United States (73301)	 Mist	 44 7 	93	Calm		 	30.02	43		
Tue Feb  2 04:52:15 2010	San Francisco, California, United States (94101)	 Overcast	 54 12 	72	NW	7		29.91	45	52	10
Tue Feb  2 04:52:16 2010	Oklahoma City, Oklahoma, United States (73101)	 Mist	 37 3 	88	Calm		 	30.11	33		
Tue Feb  2 04:52:18 2010	Nashville, Tennessee, United States (37201)	 Overcast	 36 2 	81	Calm		 	30.15	30		10
Tue Feb  2 04:52:18 2010	Fort Worth, Texas, United States (76101)	 Overcast	 45 7 	76	SSE	8		30.09	37	41	7
Tue Feb  2 04:52:20 2010	Phoenix, Arizona, United States (85001)	 Clear	 54 12 	60	NE	1	3	29.89	41		
Tue Feb  2 04:52:21 2010	Portland, Oregon, United States (97201)	 Light Rain	 43 6 	93	SE	10		29.88	41	37	10
Tue Feb  2 04:52:22 2010	Chicago, Illinois, United States (60601)	 Mostly Cloudy	 30 -1 	64	SSE	6		30.18	19	25	8
Tue Feb  2 04:52:23 2010	San Antonio, Texas, United States (78201)	 Mist	 47 8 	84	Calm		 	29.95	42	46	
Tue Feb  2 04:52:24 2010	Indianapolis, Indiana, United States (46201)	 Overcast	 33 0 	60	E	1	2	30.15	20	30	
Tue Feb  2 04:52:25 2010	Boston, Massachusetts, United States (02101)	 Partly Cloudy	 27 -3 	43	WNW	9		30.18	7	18	10
Tue Feb  2 04:52:27 2010	Jacksonville, Florida, United States (32099)	 Overcast	 56 13 	89	E	1	3	30.03	53		
Tue Feb  2 04:52:28 2010	Columbus, Ohio, United States (43085)	 Overcast	 27 -3 	69	ENE	3		30.18	18	23	10
Tue Feb  2 04:52:29 2010	Dallas, Texas, United States (75201)	 Overcast	 42 6 	100	Calm		 	30.10	42		
Tue Feb  2 04:52:30 2010	Houston, Texas, United States (77001)	 Mist	 47 8 	100	ESE	2	4	30.00	47		
Tue Feb  2 04:52:31 2010	Seattle, Washington, United States (98101)	 Overcast	 46 8 	87	S	6		29.85	43	44	10
Tue Feb  2 04:52:32 2010	Milwaukee, Wisconsin, United States (53201)	 Snow	 28 -2 	80	Calm		 	30.15	23		2 1/2
Tue Feb  2 04:52:33 2010	Detroit, Michigan, United States (48201)	 Overcast	 23 -5 	74	SW	3		30.24	16	19	10
Tue Feb  2 04:52:35 2010	Philadelphia, Pennsylvania, United States (19019)	 Mostly Cloudy	 28 -2 	64	SSW	8		30.30	18	21	10
Tue Feb  2 05:35:24 2010	San Jose, California, United States (95101)	 Partly Cloudy	 52 11 	72	Calm		 	29.89	43	51	
Tue Feb  2 05:35:25 2010	Charlotte, North Carolina, United States (28201)	 Mostly Cloudy	 31 -1 	81	Calm		 	30.19	26		
Tue Feb  2 05:35:26 2010	San Diego, California, United States (92101)	 Mostly Cloudy	 56 13 	86	Calm		 	30.08	52		
Tue Feb  2 05:35:27 2010	Denver, Colorado, United States (80214)	 Partly Cloudy	 37 3 	39	Calm		 	30.26	14	32	
Tue Feb  2 05:35:28 2010	Memphis, Tennessee, United States (37501)	 Overcast	 41 5 	76	SE	5		30.12	34	38	10
Tue Feb  2 05:35:29 2010	Los Angeles, California, United States (90001)	 Clear	 57 14 	82	Calm		 	29.88	52		7
Tue Feb  2 05:35:30 2010	El Paso, Texas, United States (79901)	 Mostly Cloudy	 54 12 	47	NNW	3		29.97	34		10
Tue Feb  2 05:35:31 2010	New York, New York, United States (10001)	 Clear	 30 -1 	47	VARIABLE	6		30.24	12	25	10
Tue Feb  2 05:35:33 2010	Baltimore, Maryland, United States (21201)	 Mostly Cloudy	 21 -6 	74	Calm		 	30.27	14		10
Tue Feb  2 05:35:33 2010	Las Vegas, Nevada, United States (89101)	 Mostly Cloudy	 51 11 	52	Calm		 	29.97	34		
Tue Feb  2 05:35:35 2010	Washington, D.C., United States (20001)	 Mostly Cloudy	 30 -1 	69	Calm		 	30.30	21		10
Tue Feb  2 05:35:36 2010	Austin, Texas, United States (73301)	 Mist	 44 7 	95	Calm		 	30.02	43		
Tue Feb  2 05:35:37 2010	San Francisco, California, United States (94101)	 Mostly Cloudy	 54 12 	67	Calm		 	29.91	43		10
Tue Feb  2 05:35:38 2010	Oklahoma City, Oklahoma, United States (73101)	 Mist	 37 3 	89	Calm		 	30.11	34		
Tue Feb  2 05:35:39 2010	Nashville, Tennessee, United States (37201)	 Overcast	 36 2 	81	Calm		 	30.15	30		9
Tue Feb  2 05:35:40 2010	Fort Worth, Texas, United States (76101)	 Overcast	 45 7 	76	Calm		 	30.12	37		7
Tue Feb  2 05:35:41 2010	Phoenix, Arizona, United States (85001)	 Clear	 53 12 	60	NE	1		29.89	40		
Tue Feb  2 05:35:42 2010	Portland, Oregon, United States (97201)	 Overcast	 43 6 	93	ESE	10		29.88	41	37	10
Tue Feb  2 05:35:44 2010	Chicago, Illinois, United States (60601)	 Overcast	 30 -1 	64	SE	8		30.15	19	23	9
Tue Feb  2 05:35:45 2010	San Antonio, Texas, United States (78201)	 Mist	 47 8 	84	Calm		 	29.95	43	46	
Tue Feb  2 05:35:46 2010	Indianapolis, Indiana, United States (46201)	 Overcast	 32 0 	63	E	1	4	30.13	21	29	
Tue Feb  2 05:35:47 2010	Boston, Massachusetts, United States (02101)	 Partly Cloudy	 27 -3 	43	W	14		30.18	7	16	10
Tue Feb  2 05:35:48 2010	Jacksonville, Florida, United States (32099)	 Light Rain	 56 13 	91	Calm		 	30.01	53		
Tue Feb  2 05:35:49 2010	Columbus, Ohio, United States (43085)	 Overcast	 27 -3 	69	E	5		30.18	18	22	10
Tue Feb  2 05:35:51 2010	Dallas, Texas, United States (75201)	 Overcast	 42 6 	100	Calm		 	30.10	42		
Tue Feb  2 05:35:52 2010	Houston, Texas, United States (77001)	 Mist	 47 8 	100	NE	2		30.01	47		
Tue Feb  2 05:35:53 2010	Seattle, Washington, United States (98101)	 Overcast	 46 8 	87	Calm		 	29.83	43		10
Tue Feb  2 05:35:54 2010	Milwaukee, Wisconsin, United States (53201)	 Snow	 27 -3 	86	S	5		30.15	23	22	1 3/4
Tue Feb  2 05:35:55 2010	Detroit, Michigan, United States (48201)	 Overcast	 23 -5 	74	Calm		 	30.21	16		10
Tue Feb  2 05:35:56 2010	Philadelphia, Pennsylvania, United States (19019)	 Partly Cloudy	 27 -3 	69	SSW	8		30.30	18	19	10
Tue Feb  2 06:18:43 2010	San Jose, California, United States (95101)	 Partly Cloudy	 51 11 	72	Calm		 	29.89	42		
Tue Feb  2 06:18:44 2010	Charlotte, North Carolina, United States (28201)	 Overcast	 30 -1 	81	Calm		 	30.20	25		
Tue Feb  2 06:18:46 2010	San Diego, California, United States (92101)	 Mostly Cloudy	 55 13 	87	Calm		 	30.08	51		
Tue Feb  2 06:18:47 2010	Denver, Colorado, United States (80214)	 Partly Cloudy	 36 2 	38	Calm		 	30.26	13		
Tue Feb  2 06:18:48 2010	Memphis, Tennessee, United States (37501)	 Overcast	 41 5 	76	SE	5		30.12	34	38	10
Tue Feb  2 06:18:49 2010	Los Angeles, California, United States (90001)	 Hazy	 57 14 	82	Calm		 	29.88	52		5
Tue Feb  2 06:18:50 2010	El Paso, Texas, United States (79901)	 Overcast	 46 8 	66	NE	5		29.97	36	45	10
Tue Feb  2 06:18:51 2010	New York, New York, United States (10001)	 Clear	 30 -1 	47	VARIABLE	7		30.27	12	24	10
Tue Feb  2 06:18:52 2010	Baltimore, Maryland, United States (21201)	 Mostly Cloudy	 21 -6 	74	Calm		 	30.27	14		10
Tue Feb  2 06:18:54 2010	Las Vegas, Nevada, United States (89101)	 Overcast	 51 11 	50	Calm		 	29.97	33		
Tue Feb  2 06:18:55 2010	Washington, D.C., United States (20001)	 Mostly Cloudy	 30 -1 	69	Calm		 	30.30	21		10
Tue Feb  2 06:18:56 2010	Austin, Texas, United States (73301)	 Mist	 44 7 	96	Calm		 	30.05	43		
Tue Feb  2 06:18:57 2010	San Francisco, California, United States (94101)	 Mostly Cloudy	 54 12 	67	Calm		 	29.91	43		10
Tue Feb  2 06:18:58 2010	Oklahoma City, Oklahoma, United States (73101)	 Mist	 37 3 	89	Calm		 	30.14	34		
Tue Feb  2 06:18:59 2010	Nashville, Tennessee, United States (37201)	 Light Rain	 36 2 	81	Calm		 	30.15	30		6
Tue Feb  2 06:19:00 2010	Fort Worth, Texas, United States (76101)	 Overcast	 43 6 	76	S	7		30.12	36	39	7
Tue Feb  2 06:19:01 2010	Phoenix, Arizona, United States (85001)	 Clear	 53 12 	60	NNE	2	3	29.89	39		
Tue Feb  2 06:19:03 2010	Portland, Oregon, United States (97201)	 Overcast	 43 6 	93	ESE	10		29.88	41	37	10
Tue Feb  2 06:19:04 2010	Chicago, Illinois, United States (60601)	 Overcast	 30 -1 	64	SE	6		30.12	19	25	9
Tue Feb  2 06:19:05 2010	San Antonio, Texas, United States (78201)	 Mist	 47 9 	84	Calm		 	29.95	43	46	
Tue Feb  2 06:19:06 2010	Indianapolis, Indiana, United States (46201)	 Overcast	 33 0 	63	ESE	2	3	30.12	21	29	
Tue Feb  2 06:19:07 2010	Boston, Massachusetts, United States (02101)	 Overcast	 27 -3 	46	W	15		30.18	9	16	10
Tue Feb  2 06:19:08 2010	Jacksonville, Florida, United States (32099)	 Light Rain	 56 13 	93	Calm		 	30.00	54		
Tue Feb  2 06:19:09 2010	Columbus, Ohio, United States (43085)	 Overcast	 28 -2 	64	E	6		30.18	18	23	10
Tue Feb  2 06:19:10 2010	Dallas, Texas, United States (75201)	 Overcast	 42 6 	100	Calm		 	30.10	42		
Tue Feb  2 06:19:11 2010	Houston, Texas, United States (77001)	 Mist	 47 8 	100	NE	4	5	30.02	47	45	
Tue Feb  2 06:19:13 2010	Seattle, Washington, United States (98101)	 Overcast	 46 8 	87	Calm		 	29.85	43		10
Tue Feb  2 06:19:14 2010	Milwaukee, Wisconsin, United States (53201)	 Snow	 27 -3 	86	S	3		30.15	23	23	1 1/4
Tue Feb  2 06:19:15 2010	Detroit, Michigan, United States (48201)	 Overcast	 21 -6 	80	Calm		 	30.21	16		10
Tue Feb  2 06:19:16 2010	Philadelphia, Pennsylvania, United States (19019)	 Partly Cloudy	 28 -2 	64	SSW	6		30.30	18	23	10
Tue Feb  2 07:05:48 2010	San Jose, California, United States (95101)	 Partly Cloudy	 50 10 	72	Calm		 	29.89	42		
Tue Feb  2 07:05:49 2010	Charlotte, North Carolina, United States (28201)	 Overcast	 31 0 	81	Calm		 	30.19	26		
Tue Feb  2 07:05:50 2010	San Diego, California, United States (92101)	 Partly Cloudy	 54 12 	89	Calm		 	30.08	50		
Tue Feb  2 07:05:51 2010	Denver, Colorado, United States (80214)	 Clear	 33 1 	42	E	1		30.27	13		
Tue Feb  2 07:05:53 2010	Memphis, Tennessee, United States (37501)	 Overcast	 41 5 	76	S	6		30.12	34	38	10
Tue Feb  2 07:05:54 2010	Los Angeles, California, United States (90001)	 Hazy	 57 14 	82	Calm		 	29.88	52		5
Tue Feb  2 07:05:55 2010	El Paso, Texas, United States (79901)	 Overcast	 46 8 	66	NE	5		29.97	36	45	10
Tue Feb  2 07:05:56 2010	New York, New York, United States (10001)	 Clear	 30 -1 	47	VARIABLE	7		30.27	12	24	10
Tue Feb  2 07:05:57 2010	Baltimore, Maryland, United States (21201)	 Overcast	 23 -5 	74	Calm		 	30.27	16		10
Tue Feb  2 07:05:58 2010	Las Vegas, Nevada, United States (89101)	 Mostly Cloudy	 48 9 	59	Calm		 	29.97	35		
Tue Feb  2 07:05:59 2010	Washington, D.C., United States (20001)	 Mostly Cloudy	 30 -1 	69	Calm		 	30.30	21		10
Tue Feb  2 07:06:01 2010	Austin, Texas, United States (73301)	 Mist	 44 6 	97	Calm		 	30.05	43		
Tue Feb  2 07:06:02 2010	San Francisco, California, United States (94101)	 Overcast	 54 12 	88	Calm		 	29.91	50		10
Tue Feb  2 07:06:03 2010	Oklahoma City, Oklahoma, United States (73101)	 Mist	 37 3 	90	Calm		 	30.14	34		
Tue Feb  2 07:06:04 2010	Nashville, Tennessee, United States (37201)	 Light Rain	 36 2 	81	Calm		 	30.15	30		6
Tue Feb  2 07:06:05 2010	Fort Worth, Texas, United States (76101)	 Overcast	 43 6 	76	S	7		30.12	36	39	7
Tue Feb  2 07:06:07 2010	Phoenix, Arizona, United States (85001)	 Clear	 52 11 	62	N	2	3	29.89	40		
Tue Feb  2 07:06:08 2010	Portland, Oregon, United States (97201)	 Overcast	 43 6 	93	ESE	13		29.88	41	37	10
Tue Feb  2 07:06:10 2010	Chicago, Illinois, United States (60601)	 Overcast	 30 -1 	64	SE	6		30.12	19	25	9
Tue Feb  2 07:06:11 2010	San Antonio, Texas, United States (78201)	 Mist	 48 9 	84	Calm		 	29.95	43	46	
Tue Feb  2 07:06:12 2010	Indianapolis, Indiana, United States (46201)	 Overcast	 33 0 	64	Calm		 	30.12	22	29	
Tue Feb  2 07:06:14 2010	Boston, Massachusetts, United States (02101)	 Overcast	 27 -3 	46	W	15		30.18	9	16	10
Tue Feb  2 07:06:15 2010	Jacksonville, Florida, United States (32099)	 Light Rain	 57 14 	95	NE	1	5	29.95	55		
Tue Feb  2 07:06:16 2010	Columbus, Ohio, United States (43085)	 Overcast	 28 -2 	64	E	6		30.18	18	23	10
Tue Feb  2 07:06:17 2010	Dallas, Texas, United States (75201)	 Overcast	 42 6 	100	Calm		 	30.10	42	41	
Tue Feb  2 07:06:18 2010	Houston, Texas, United States (77001)	 Mist	 47 8 	100	E	3		30.03	47	46	
Tue Feb  2 07:06:20 2010	Seattle, Washington, United States (98101)	 Overcast	 46 8 	87	Calm		 	29.85	43		10
Tue Feb  2 07:06:21 2010	Milwaukee, Wisconsin, United States (53201)	 Snow	 27 -3 	86	S	3		30.15	23	23	1 1/4
Tue Feb  2 07:06:22 2010	Detroit, Michigan, United States (48201)	 Overcast	 21 -6 	80	Calm		 	30.21	16		10
Tue Feb  2 07:06:23 2010	Philadelphia, Pennsylvania, United States (19019)	 Partly Cloudy	 28 -2 	64	SSW	6		30.30	18	23	10
Tue Feb  2 07:48:48 2010	San Jose, California, United States (95101)	 Partly Cloudy	 50 10 	74	Calm		 	29.89	42		
Tue Feb  2 07:48:49 2010	Charlotte, North Carolina, United States (28201)	 Overcast	 33 0 	80	Calm		 	30.18	27		
Tue Feb  2 07:48:50 2010	San Diego, California, United States (92101)	 Partly Cloudy	 54 12 	89	Calm		 	30.08	50		
Tue Feb  2 07:48:52 2010	Denver, Colorado, United States (80214)	 Clear	 31 0 	45	SE	3	4	30.28	12	28	
Tue Feb  2 07:48:53 2010	Memphis, Tennessee, United States (37501)	 Overcast	 41 5 	76	SE	6		30.09	34	38	10
Tue Feb  2 07:48:54 2010	Los Angeles, California, United States (90001)	 Hazy	 57 14 	82	Calm		 	29.88	52		4
Tue Feb  2 07:48:55 2010	El Paso, Texas, United States (79901)	 Overcast	 46 8 	66	Calm		 	29.97	36		10
Tue Feb  2 07:48:56 2010	New York, New York, United States (10001)	 Clear	 30 -1 	47	VARIABLE	3		30.27	12	27	10
Tue Feb  2 07:48:58 2010	Baltimore, Maryland, United States (21201)	 Mostly Cloudy	 21 -6 	80	Calm		 	30.27	16		10
Tue Feb  2 07:48:59 2010	Las Vegas, Nevada, United States (89101)	 Mostly Cloudy	 47 8 	63	Calm		 	29.98	35		
Tue Feb  2 07:49:00 2010	Washington, D.C., United States (20001)	 Mostly Cloudy	 28 -2 	69	ENE	5		30.27	19	24	10
Tue Feb  2 07:49:01 2010	Austin, Texas, United States (73301)	 Mist	 44 6 	97	NNE	3	4	30.05	43		
Tue Feb  2 07:49:02 2010	San Francisco, California, United States (94101)	 Overcast	 52 11 	77	Calm		 	29.91	45		10
Tue Feb  2 07:49:03 2010	Oklahoma City, Oklahoma, United States (73101)	 Mist	 37 3 	91	Calm		 	30.14	35		
Tue Feb  2 07:49:05 2010	Nashville, Tennessee, United States (37201)	 Snow	 34 1 	100	Calm		 	30.12	34		4
Tue Feb  2 07:49:06 2010	Fort Worth, Texas, United States (76101)	 Overcast	 43 6 	76	Calm		 	30.15	36		7
Tue Feb  2 07:49:07 2010	Phoenix, Arizona, United States (85001)	 Clear	 52 11 	61	N	1	3	29.88	39		
Tue Feb  2 07:49:08 2010	Portland, Oregon, United States (97201)	 Overcast	 43 6 	93	ESE	10		29.88	41	37	10
Tue Feb  2 07:49:09 2010	Chicago, Illinois, United States (60601)	 Snow	 28 -2 	74	SSE	6		30.12	21	23	3
Tue Feb  2 07:49:10 2010	San Antonio, Texas, United States (78201)	 Mist	 48 9 	84	Calm		 	29.95	44	46	
Tue Feb  2 07:49:12 2010	Indianapolis, Indiana, United States (46201)	 Overcast	 33 0 	64	SSE	1	4	30.11	22	27	
Tue Feb  2 07:49:13 2010	Boston, Massachusetts, United States (02101)	 Overcast	 27 -3 	46	WNW	13	21	30.21	9	17	10
Tue Feb  2 07:49:14 2010	Jacksonville, Florida, United States (32099)	 Light Rain	 57 14 	95	NE	1	5	29.95	55		
Tue Feb  2 07:49:15 2010	Columbus, Ohio, United States (43085)	 Mostly Cloudy	 28 -2 	64	SE	3		30.18	18	25	10
Tue Feb  2 07:49:16 2010	Dallas, Texas, United States (75201)	 Overcast	 41 5 	100	Calm		 	30.10	41	39	
Tue Feb  2 07:49:18 2010	Houston, Texas, United States (77001)	 Mist	 47 8 	100	ENE	3		30.04	47	46	
Tue Feb  2 07:49:19 2010	Seattle, Washington, United States (98101)	 Light Rain	 46 8 	87	Calm		 	29.85	43		10
Tue Feb  2 07:49:20 2010	Milwaukee, Wisconsin, United States (53201)	 Snow	 27 -3 	86	Calm		 	30.15	23		1 1/4
Tue Feb  2 07:49:21 2010	Detroit, Michigan, United States (48201)	 Partly Cloudy	 19 -7 	86	Calm		 	30.21	16		10
Tue Feb  2 07:49:22 2010	Philadelphia, Pennsylvania, United States (19019)	 Partly Cloudy	 27 -3 	69	SSW	5		30.27	18	22	10
Tue Feb  2 08:32:00 2010	San Jose, California, United States (95101)	 Mostly Cloudy	 49 10 	75	Calm		 	29.89	42		
Tue Feb  2 08:32:02 2010	Charlotte, North Carolina, United States (28201)	 Overcast	 34 1 	80	Calm		 	30.17	28	33	
Tue Feb  2 08:32:03 2010	San Diego, California, United States (92101)	 Partly Cloudy	 53 12 	91	Calm		 	30.08	51		
Tue Feb  2 08:32:04 2010	Denver, Colorado, United States (80214)	 Clear	 30 -1 	49	Calm		 	30.28	13	27	
Tue Feb  2 08:32:05 2010	Memphis, Tennessee, United States (37501)	 Overcast	 41 5 	81	Calm		 	30.09	36		10
Tue Feb  2 08:32:06 2010	Los Angeles, California, United States (90001)	 Hazy	 57 14 	82	Calm		 	29.88	52		4
Tue Feb  2 08:32:07 2010	El Paso, Texas, United States (79901)	 Mostly Cloudy	 45 7 	66	E	5		29.97	34	43	10
Tue Feb  2 08:32:09 2010	New York, New York, United States (10001)	 Clear	 30 -1 	47	SSW	3		30.27	12	27	10
Tue Feb  2 08:32:10 2010	Baltimore, Maryland, United States (21201)	 Mostly Cloudy	 19 -7 	86	Calm		 	30.24	16		10
Tue Feb  2 08:32:11 2010	Las Vegas, Nevada, United States (89101)	 Mostly Cloudy	 47 8 	65	Calm		 	29.98	36		
Tue Feb  2 08:32:12 2010	Washington, D.C., United States (20001)	 Mostly Cloudy	 28 -2 	69	ENE	5		30.27	19	24	10
Tue Feb  2 08:32:13 2010	Austin, Texas, United States (73301)	 Mist	 44 7 	97	Calm		 	30.05	45		
Tue Feb  2 08:32:15 2010	San Francisco, California, United States (94101)	 Overcast	 54 12 	82	E	3		29.91	48		10
Tue Feb  2 08:32:16 2010	Oklahoma City, Oklahoma, United States (73101)	 Mist	 37 3 	91	Calm		 	30.17	35		
Tue Feb  2 08:32:17 2010	Nashville, Tennessee, United States (37201)	 Snow	 34 1 	100	Calm		 	30.12	34		2 1/2
Tue Feb  2 08:32:18 2010	Fort Worth, Texas, United States (76101)	 Overcast	 41 5 	81	Calm		 	30.15	36		7
Tue Feb  2 08:32:19 2010	Phoenix, Arizona, United States (85001)	 Clear	 52 11 	62	N	1		29.88	39		
Tue Feb  2 08:32:20 2010	Portland, Oregon, United States (97201)	 Overcast	 43 6 	93	ESE	10		29.88	41	37	10
Tue Feb  2 08:32:22 2010	Chicago, Illinois, United States (60601)	 Snow	 28 -2 	86	Calm		 	30.12	25		1
Tue Feb  2 08:32:23 2010	San Antonio, Texas, United States (78201)	 Mist	 49 9 	84	Calm		 	29.95	44	46	
