1	www.uswx.com													
(Timestamp)	(Location)	(City & Timestamp)	Temperature (°F °C)	Dew Point (°F °C)	Humidity (%)	Pressure (in mb)	Wind Speed (MPH kts) 	Wind Dir	Ceiling (ft m)	Visibility (mi km)	Wind Chill (°F °C)	Conditions	Remarks	TypeIssue TimeExpire TimeExpires  
Wed Feb  3 00:35:48 2010	Las Vegas (89101)	Las Vegas, NV (KVGT) as of 2:53pm PST (42 mago)	58 14 	30 -1 	35	29.80 1009.1 	7 6 	E100	 Unlimited Unlimited	10 16.1	--	Clear	Lightning detector not working.	
Wed Feb  3 00:35:49 2010	Washington (20001)	Washington DC, VA (KDCA) as of 6:20pm EST (15 mago)	36 2 	26 -3 	69	30.12 1020 	8 7 	ENE60	 2800 853	5 8.0	29 -2 	Light Snow	Trace precipitation last hour.	Winter Storm Warning Tue, Feb 2, 12:03pm EST Tue, Feb 2, 8:15pm EST 1 hr, 39 mins  Winter Storm Warning Tue, Feb 2, 3:35pm EST Tue, Feb 2, 11:45pm EST 5 hrs, 9 mins  Winter Storm Warning Tue, Feb 2, 6:19pm EST Wed, Feb 3, 2:30am EST 7 hrs, 54 minsNational Weather Service Forecast 
Wed Feb  3 00:35:51 2010	Aust(73301)	AustCity, TX (KATT) as of 4:51pm CST (44 mago)	51 11 	45 7 	79	30.15 1021 	3 3 	VariableVariable	 1300 396	6 9.7	--	 Haze	No  this hour.	
Wed Feb  3 00:35:53 2010	San Francisco (94101)	San Francisco, CA (KSFO) as of 3:26pm PST (9 mago)	54 12 	48 9 	82	29.83 1010 	3 3 	NNE30	 2800 853	9 14.5	--	Mostly Cloudy	Trace precipitation last hour.	
Wed Feb  3 00:35:55 2010	Oklahoma City (73101)	Oklahoma City, OK (KOKC) as of 4:52pm CST (43 mago)	35 2 	30 -1 	82	30.21 1023.1 	3 3 	S190	 800 244	4 6.4	32 0 	 Haze	No  this hour.	
Wed Feb  3 00:35:57 2010	Nashville (37201)	Nashville, TN (KBNA) as of 4:53pm CST (42 mago)	44 7 	30 -1 	60	30.09 1019 	5 4 	WNW290	 4200 1280	10 16.1	--	Cloudy	No  this hour.	
Wed Feb  3 00:35:59 2010	Fort Worth (76101)	Fort Worth, TX (KFTW) as of 4:53pm CST (43 mago)	49 9 	34 1 	56	30.16 1021.2 	9 8 	NNE30	 Unlimited Unlimited	10 16.1	--	Clear	No  this hour.	
Wed Feb  3 00:36:01 2010	Phoenix (85001)	Phoenix, AZ (KPHX) as of 3:51pm MST (45 mago)	72 22 	37 3 	28	29.71 1006.1 	3 3 	SSE150	 25000 7620	10 16.1Heat Index74 °F23 		Mostly Cloudy	No  this hour.	
Wed Feb  3 00:36:03 2010	Portland (97201)	Portland, OR (KPDX) as of 2:53pm PST (43 mago)	53 12 	43 6 	68	29.77 1008.2 	Calm Calm	--	 25000 7620	10 16.1	--	Mostly Cloudy	No  this hour.	
Wed Feb  3 00:36:05 2010	Chicago (60601)	Chicago, IL (KMDW) as of 4:51pm CST (45 mago)	31 -1 	27 -3 	85	30.03 1016.8 	6 5 	W280	 1700 518	3 4.8	25 -4 	Light Snow, Mist	Trace precipitation last hour.	
Wed Feb  3 00:36:07 2010	San Antonio (78201)	San Antonio, TX (KSAT) as of 5:17pm CST (19 mago)	52 11 	48 9 	87	30.12 1020 	13 11 	NE40	 700 213	3 4.8	--	Light Drizzle, Mist	Trace precipitation last hour.	
Wed Feb  3 00:36:09 2010	Indianapolis (46201)	Indianapolis, (KIND) as of 5:54pm EST (42 mago)	35 2 	26 -3 	69	30.03 1016.8 	9 8 	W270	 3900 1189	10 16.1	28 -2 	Cloudy	No  this hour.	
Wed Feb  3 00:36:10 2010	Boston (02101)	Boston, MA (KBOS) as of 5:54pm EST (42 mago)	29 -2 	12-Oct	47	30.21 1022.9 	8 7 	SSW210	 22000 6706	10 16.1	21 -6 	Cloudy	No  this hour.	
Wed Feb  3 00:36:13 2010	Jacksonville (32099)	Jacksonville, FL (KNIP) as of 5:53pm EST (43 mago)	58 14 	52 11 	80	29.96 1014.7 	14 12 	NW320	 1500 457	10 16.1	--	Cloudy	No  this hour.	
Wed Feb  3 00:36:15 2010	Coluus (43085)	Coluus, OH (KOSU) as of 5:53pm EST (43 mago)	37 3 	23 -5 	56	30.00 1015.8 	Calm Calm	--	 6500 1981	10 16.1	--	Cloudy	No  this hour.	
Wed Feb  3 00:36:17 2010	Dallas (75201)	Dallas, TX (KDAL) as of 4:53pm CST (43 mago)	50 10 	35 2 	56	30.16 1021.2 	10 9 	NNE30	 26000 7925	10 16.1	--	Mostly Cloudy	No  this hour.	
Wed Feb  3 00:36:19 2010	Houston (77001)	Houston, TX (KHOU) as of 4:53pm CST (43 mago)	57 14 	48 9 	74	30.14 1020.8 	9 8 	NE40	 3800 1158	10 16.1	--	Cloudy	No  this hour.	
Wed Feb  3 00:36:21 2010	Seattle (98101)	Seattle, WA (KBFI) as of 2:53pm PST (43 mago)	55 13 	36 2 	48	29.80 1009.2 	5 4 	ENE60	 25000 7620	10 16.1	--	Mostly Cloudy	No  this hour.	
Wed Feb  3 00:36:23 2010	Milwaukee (53201)	Milwaukee, WI (KMKE) as of 4:52pm CST (44 mago)	32 0 	27 -3 	81	30.00 1015.8 	3 3 	W260	 2300 701	4 6.4	29 -2 	Light Snow	Trace precipitation last hour.	
Wed Feb  3 00:36:25 2010	Detroit (48201)	Detroit, MI (KDET) as of 6:22pm EST (14 mago)	27 -3 	24 -4 	93	30.00 1016 	7 6 	SE130	 700 213	2.5 4.0	19 -7 	Light Snow, Mist	Trace precipitation last hour.	Special Weather Statement Tue, Feb 2, 4:48pm EST Tue, Feb 2, 7:00pm EST 23 minsNational Weather Service 
Wed Feb  3 00:36:27 2010	Philadelphia (19019)	Philadelphia, PA (KPHL) as of 5:54pm EST (42 mago)	34 1 	19 -7 	54	30.15 1021 	Calm Calm	--	 12000 3658	10 16.1	--	Cloudy	No  this hour.	Winter Weather Advisory Tue, Feb 2, 11:07am EST Tue, Feb 2, 7:15pm EST 38 mins  Winter Weather Advisory Tue, Feb 2, 2:28pm EST Tue, Feb 2, 11:00pm EST 4 hrs, 23 minsNational Weather Service 
Wed Feb  3 01:22:37 2010	San Jose (95101)	San Jose, CA (KSJC) as of 3:53pm PST (29 mago)	57 14 	50 10 	77	29.83 1010.1 	6 5 	WNW300	 7500 2286	9 14.5	--	Light Rain	Trace precipitation last hour.	
Wed Feb  3 01:22:39 2010	Charlotte (28201)	Charlotte, NC (KCLT) as of 6:59pm EST (23 mago)	37 3 	35 2 	93	29.97 1015 	3 3 	VariableVariable	 1200 366	2 3.2	35 2 	Light Rain, Mist	Trace precipitation last hour.	
Wed Feb  3 01:22:42 2010	San Diego (92101)	San Diego, CA (KSAN) as of 3:51pm PST (31 mago)	60 16 	50 10 	69	29.80 1009.1 	9 8 	WNW300	 20000 6096	10 16.1	--	Mostly Cloudy	No  this hour.	Special Weather Statement Tue, Feb 2, 2:23pm PST Wed, Feb 3, 6:30pm PST 26 hrs, 7 minsNational Weather Service 
Wed Feb  3 01:22:44 2010	Denver (80214)	Broomfield, CO (KBJC) as of 4:50pm MST (32 mago)	41 5 	12-Oct	28	29.88 1012 	Calm Calm	--	 24000 7315	40 64.4	--	Mostly Cloudy	No  this hour.	
Wed Feb  3 01:22:46 2010	Memphis (37501)	Memphis, TN (KMEM) as of 6:05pm CST (17 mago)	41 5 	32 0 	70	30.18 1022 	5 4 	NW320	 3000 914	10 16.1	--	Cloudy	No  this hour.	
Wed Feb  3 01:22:50 2010	Los Angeles (90001)	Hawthorne, CA (KHHR) as of 3:53pm PST (29 mago)	61 16 	48 9 	64	29.79 1008.7 	6 5 	WNW290	 Unlimited Unlimited	10 16.1	--	Few Clouds	No  this hour.	
Wed Feb  3 01:22:52 2010	El Paso (79901)	El Paso, TX (KELP) as of 4:51pm MST (31 mago)	61 16 	33 1 	35	29.78 1008.5 	13 11 	E90	 15000 4572	10 16.1	--	Mostly Cloudy	No  this hour.	Special Weather Statement Tue, Feb 2, 2:41pm MST Wed, Feb 3, 5:00am MST 11 hrs, 37 minsNational Weather Service 
Wed Feb  3 01:22:53 2010	New York (10001)	New York City, NY (KNYC) as of 6:51pm EST (31 mago)	32 0 	19 -7 	61	30.16 1021.4 	7 6 	VariableVariable	 9000 2743	10 16.1	26 -3 	Cloudy	Lightning detector not working.	
Wed Feb  3 01:22:55 2010	Baltimore (21201)	Baltimore, MD (KBWI) as of 7:17pm EST (5 mago)	32 0 	26 -3 	80	30.12 1020 	8 7 	NE40	 1900 579	2.5 4.0	25 -4 	Light Snow	Trace precipitation last hour.1" inches of snow on ground at 	Winter Storm Warning Tue, Feb 2, 12:03pm EST Tue, Feb 2, 8:15pm EST 52 mins  Winter Storm Warning Tue, Feb 2, 3:35pm EST Tue, Feb 2, 11:45pm EST 4 hrs, 22 mins  Winter Storm Warning Tue, Feb 2, 6:19pm EST Wed, Feb 3, 2:30am EST 7 hrs, 7 mins  Winter Storm Warning Tue, Feb 2, 7:09pm EST Wed, Feb 3, 3:15am EST 7 hrs, 52 minsNational Weather Service 
Wed Feb  3 01:22:57 2010	Las Vegas (89101)	Las Vegas, NV (KVGT) as of 3:53pm PST (29 mago)	57 14 	30 -1 	37	29.79 1008.9 	6 5 	ENE70	 Unlimited Unlimited	10 16.1	--	Clear	Lightning detector not working.	
Wed Feb  3 01:22:59 2010	Washington (20001)	Washington DC, VA (KDCA) as of 7:19pm EST (4 mago)	34 1 	28 -2 	80	30.12 1020 	6 5 	NE40	 1400 427	2 3.2	29 -2 	Light Snow	Trace precipitation last hour.1" inches of snow on ground at 	Winter Storm Warning Tue, Feb 2, 12:03pm EST Tue, Feb 2, 8:15pm EST 52 mins  Winter Storm Warning Tue, Feb 2, 3:35pm EST Tue, Feb 2, 11:45pm EST 4 hrs, 22 mins  Winter Storm Warning Tue, Feb 2, 6:19pm EST Wed, Feb 3, 2:30am EST 7 hrs, 7 mins  Winter Storm Warning Tue, Feb 2, 7:09pm EST Wed, Feb 3, 3:15am EST 7 hrs, 52 minsNational Weather Service 
Wed Feb  3 01:23:01 2010	Aust(73301)	AustCity, TX (KATT) as of 6:19pm CST (4 mago)	52 11 	44 7 	76	30.15 1021 	3 3 	VariableVariable	 4500 1372	7 11.3	--	Cloudy	No  this hour.	
Wed Feb  3 01:23:03 2010	San Francisco (94101)	San Francisco, CA (KSFO) as of 3:56pm PST (27 mago)	54 12 	48 9 	80	29.83 1010.2 	3 3 	ENE60	 2400 732	9 14.5	--	Mostly Cloudy	Trace precipitation last hour.	
Wed Feb  3 01:23:04 2010	Oklahoma City (73101)	Oklahoma City, OK (KOKC) as of 5:52pm CST (31 mago)	33 1 	28 -2 	85	30.20 1022.7 	7 6 	S190	 Unlimited Unlimited	3 4.8	27 -3 	 Mist	No  this hour.	
Wed Feb  3 01:23:06 2010	Nashville (37201)	Nashville, TN (KBNA) as of 5:53pm CST (30 mago)	43 6 	30 -1 	62	30.11 1019.6 	5 4 	WNW300	 4200 1280	10 16.1	--	Cloudy	No  this hour.	
Wed Feb  3 01:23:08 2010	Fort Worth (76101)	Fort Worth, TX (KFTW) as of 5:53pm CST (30 mago)	47 8 	35 2 	63	30.15 1021.1 	8 7 	NNE20	 Unlimited Unlimited	10 16.1	--	Clear	No  this hour.	
Wed Feb  3 01:23:11 2010	Phoenix (85001)	Phoenix, AZ (KPHX) as of 4:51pm MST (32 mago)	71 22 	37 3 	29	29.70 1005.8 	3 3 	E100	 25000 7620	10 16.1Heat Index74 °F23 		Mostly Cloudy	No  this hour.	
Wed Feb  3 01:23:13 2010	Portland (97201)	Portland, OR (KPDX) as of 3:53pm PST (30 mago)	51 11 	41 5 	68	29.77 1008 	Calm Calm	--	 25000 7620	10 16.1	--	Mostly Cloudy	No  this hour.	
Wed Feb  3 01:23:15 2010	Chicago (60601)	Chicago, IL (KMDW) as of 5:51pm CST (32 mago)	31 -1 	27 -3 	85	30.04 1017.4 	7 6 	W270	 2000 610	4 6.4	24 -4 	Light Snow, Mist	Trace precipitation last hour.1" inches of snow on ground at 5:51pm CST .	
Wed Feb  3 01:23:17 2010	San Antonio (78201)	San Antonio, TX (KSAT) as of 5:53pm CST (30 mago)	51 11 	48 9 	89	30.10 1019.2 	10 9 	NE50	 900 274	3 4.8	--	Light Drizzle, Mist	Trace precipitation last hour.	
Wed Feb  3 01:23:19 2010	Indianapolis (46201)	Indianapolis, (KIND) as of 7:07pm EST (16 mago)	34 1 	26 -3 	75	30.03 1017 	10 9 	W260	 4100 1250	10 16.1	26 -3 	Cloudy	No  this hour.	
Wed Feb  3 01:23:21 2010	Boston (02101)	Boston, MA (KBOS) as of 6:54pm EST (29 mago)	28 -2 	12-Oct	48	30.19 1022.4 	5 4 	SSW210	 22000 6706	10 16.1	23 -5 	Mostly Cloudy	No  this hour.	
Wed Feb  3 01:23:22 2010	Jacksonville (32099)	Jacksonville, FL (KNIP) as of 6:53pm EST (30 mago)	57 14 	51 11 	80	29.99 1015.5 	9 8 	NW320	 1500 457	10 16.1	--	Cloudy	No  this hour.	
Wed Feb  3 01:23:24 2010	Coluus (43085)	Coluus, OH (KOSU) as of 6:53pm EST (30 mago)	38 3 	19 -7 	48	30.00 1016 	Calm Calm	--	 6000 1829	10 16.1	--	Cloudy	No  this hour.	
Wed Feb  3 01:23:26 2010	Dallas (75201)	Dallas, TX (KDAL) as of 5:53pm CST (30 mago)	49 9 	35 2 	58	30.16 1021.3 	6 5 	N10	 26000 7925	10 16.1	--	Mostly Cloudy	No  this hour.	
Wed Feb  3 01:23:28 2010	Houston (77001)	Houston, TX (KHOU) as of 5:53pm CST (30 mago)	57 14 	48 9 	74	30.16 1021.3 	7 6 	NE50	 4000 1219	10 16.1	--	Cloudy	No  this hour.	
Wed Feb  3 01:23:30 2010	Seattle (98101)	Seattle, WA (KBFI) as of 3:53pm PST (30 mago)	54 12 	39 4 	59	29.80 1009 	3 3 	NW320	 25000 7620	10 16.1	--	Mostly Cloudy	No  this hour.	
Wed Feb  3 01:23:32 2010	Milwaukee (53201)	Milwaukee, WI (KMKE) as of 5:52pm CST (31 mago)	32 0 	27 -3 	81	30.01 1016.2 	5 4 	W260	 3600 1097	4 6.4	27 -3 	Light Snow	Trace precipitation last hour.1" inches of snow on ground at 5:52pm CST .	
Wed Feb  3 01:23:34 2010	Detroit (48201)	Detroit, MI (KDET) as of 6:53pm EST (30 mago)	27 -3 	25 -4 	92	30.04 1017.3 	6 5 	SE130	 700 213	2.5 4.0	20 -7 	Light Snow, Mist	Trace precipitation last hour.	
Wed Feb  3 01:23:37 2010	Philadelphia (19019)	Philadelphia, PA (KPHL) as of 6:54pm EST (29 mago)	34 1 	21 -6 	61	30.15 1021 	Calm Calm	--	 10000 3048	10 16.1	--	Cloudy	No  this hour.	Winter Weather Advisory Tue, Feb 2, 2:28pm EST Tue, Feb 2, 11:00pm EST 3 hrs, 36 minsNational Weather Service 
Wed Feb  3 02:07:54 2010	San Jose (95101)	San Jose, CA (KSJC) as of 4:53pm PST (14 mago)	55 13 	48 9 	80	29.83 1010.3 	Calm Calm	--	 5000 1524	9 14.5	--	Light Rain	0.02" of precipitation last hour.	
Wed Feb  3 02:07:55 2010	Charlotte (28201)	Charlotte, NC (KCLT) as of 7:52pm EST (15 mago)	37 3 	36 2 	96	30.01 1016.1 	5 4 	N350	 500 152	2 3.2	33 1 	 Mist	0.01" of precipitation last hour.	Special Weather Statement Tue, Feb 2, 8:04pm EST Wed, Feb 3, 10:00am EST 13 hrs, 52 minsNational Weather Service 
Wed Feb  3 02:07:57 2010	San Diego (92101)	San Diego, CA (KSAN) as of 4:51pm PST (16 mago)	59 15 	50 10 	72	29.80 1009.2 	6 5 	WNW300	 20000 6096	10 16.1	--	Mostly Cloudy	No  this hour.	Special Weather Statement Tue, Feb 2, 2:23pm PST Wed, Feb 3, 6:30pm PST 25 hrs, 22 minsNational Weather Service 
Wed Feb  3 02:08:00 2010	Denver (80214)	Broomfield, CO (KBJC) as of 5:47pm MST (21 mago)	37 3 	12-Oct	32	29.88 1012 	6 5 	N360	 24000 7315	40 64.4	33 1 	Mostly Cloudy	No  this hour.	
Wed Feb  3 02:08:02 2010	Memphis (37501)	Memphis, TN (KMEM) as of 6:53pm CST (15 mago)	39 4 	30 -1 	72	30.21 1022.9 	3 3 	NW310	 3200 975	10 16.1	37 3 	Mostly Cloudy	No  this hour.	
Wed Feb  3 02:08:04 2010	Los Angeles (90001)	Hawthorne, CA (KHHR) as of 4:53pm PST (15 mago)	59 15 	51 11 	75	29.79 1008.7 	7 6 	W260	 Unlimited Unlimited	10 16.1	--	Clear	No  this hour.	
Wed Feb  3 02:08:06 2010	El Paso (79901)	El Paso, TX (KELP) as of 5:51pm MST (17 mago)	57 14 	34 1 	41	29.79 1008.9 	10 9 	ENE70	 25000 7620	10 16.1	--	Cloudy	No  this hour.	Special Weather Statement Tue, Feb 2, 2:41pm MST Wed, Feb 3, 5:00am MST 10 hrs, 51 minsNational Weather Service 
Wed Feb  3 02:08:08 2010	New York (10001)	New York City, NY (KNYC) as of 7:51pm EST (17 mago)	32 0 	21 -6 	64	30.16 1021.2 	8 7 	SE130	 9000 2743	9 14.5	25 -4 	Cloudy	Lightning detector not working.	Special Weather Statement Tue, Feb 2, 7:54pm EST Tue, Feb 2, 9:45pm EST 1 hr, 36 minsNational Weather Service 
Wed Feb  3 02:08:10 2010	Baltimore (21201)	Baltimore, MD (KBWI) as of 7:54pm EST (14 mago)	31 -1 	28 -2 	92	30.11 1019.5 	7 6 	NE50	 --	1 1.6	24 -4 	Light Snow, Mist	0.01" of precipitation last hour.1" inches of snow on ground at 	Winter Storm Warning Tue, Feb 2, 12:03pm EST Tue, Feb 2, 8:15pm EST 6 mins  Winter Storm Warning Tue, Feb 2, 3:35pm EST Tue, Feb 2, 11:45pm EST 3 hrs, 36 mins  Winter Storm Warning Tue, Feb 2, 6:19pm EST Wed, Feb 3, 2:30am EST 6 hrs, 21 mins  Winter Storm Warning Tue, Feb 2, 7:09pm EST Wed, Feb 3, 3:15am EST 7 hrs, 6 minsNational Weather Service 
Wed Feb  3 02:08:18 2010	Las Vegas (89101)	Las Vegas, NV (KVGT) as of 4:53pm PST (15 mago)	56 13 	32 0 	40	29.80 1009 	3 3 	ESE120	 Unlimited Unlimited	10 16.1	--	Clear	Lightning detector not working.	
Wed Feb  3 02:08:20 2010	Washington (20001)	Washington DC, VA (KDCA) as of 8:03pm EST (5 mago)	34 1 	28 -2 	80	30.12 1020 	6 5 	NNE30	 1100 335	1.25 2.0	29 -2 	Light Snow, Mist	0.01" of precipitation last hour.1" inches of snow on ground at 	Winter Storm Warning Tue, Feb 2, 12:03pm EST Tue, Feb 2, 8:15pm EST 6 mins  Winter Storm Warning Tue, Feb 2, 3:35pm EST Tue, Feb 2, 11:45pm EST 3 hrs, 36 mins  Winter Storm Warning Tue, Feb 2, 6:19pm EST Wed, Feb 3, 2:30am EST 6 hrs, 21 mins  Winter Storm Warning Tue, Feb 2, 7:09pm EST Wed, Feb 3, 3:15am EST 7 hrs, 6 minsNational Weather Service 
Wed Feb  3 02:08:22 2010	Aust(73301)	AustCity, TX (KATT) as of 6:51pm CST (17 mago)	50 10 	45 7 	83	30.16 1021.5 	Calm Calm	--	 1900 579	7 11.3	--	Mostly Cloudy	No  this hour.	
Wed Feb  3 02:08:24 2010	San Francisco (94101)	San Francisco, CA (KSFO) as of 4:56pm PST (12 mago)	54 12 	48 9 	83	29.84 1010.4 	3 3 	E90	 9000 2743	10 16.1	--	Cloudy	No  this hour.	
Wed Feb  3 02:08:26 2010	Oklahoma City (73101)	Oklahoma City, OK (KOKC) as of 6:52pm CST (16 mago)	33 1 	30 -1 	88	30.21 1023.1 	7 6 	SSE150	 300 91	3 4.8	27 -3 	 Mist	No  this hour.	
Wed Feb  3 02:08:28 2010	Nashville (37201)	Nashville, TN (KBNA) as of 6:53pm CST (15 mago)	42 6 	30 -1 	62	30.13 1020.2 	8 7 	WNW300	 4000 1219	10 16.1	--	Cloudy	No  this hour.	
Wed Feb  3 02:08:30 2010	Fort Worth (76101)	Fort Worth, TX (KFTW) as of 6:53pm CST (15 mago)	44 7 	34 1 	67	30.20 1022.6 	6 5 	E80	 Unlimited Unlimited	10 16.1	--	Clear	No  this hour.	
Wed Feb  3 02:08:33 2010	Phoenix (85001)	Phoenix, AZ (KPHX) as of 5:51pm MST (17 mago)	70 21 	39 4 	32	29.70 1005.8 	Calm Calm	--	 25000 7620	10 16.1	--	Mostly Cloudy	No  this hour.	
Wed Feb  3 02:08:34 2010	Portland (97201)	Portland, OR (KPDX) as of 4:53pm PST (15 mago)	48 9 	39 4 	71	29.76 1007.7 	13 11 	ESE120	 25000 7620	10 16.1	--	Mostly Cloudy	0.01" of precipitation last hour.	
Wed Feb  3 02:08:36 2010	Chicago (60601)	Chicago, IL (KMDW) as of 6:51pm CST (17 mago)	32 0 	27 -3 	81	30.06 1018.1 	12 10 	W260	 1200 366	4 6.4	23 -5 	Light Snow	Trace precipitation last hour.1" inches of snow on ground at 5:51pm CST .	
Wed Feb  3 02:08:38 2010	San Antonio (78201)	San Antonio, TX (KSAT) as of 6:53pm CST (15 mago)	51 11 	48 9 	89	30.09 1019.1 	8 7 	ENE60	 900 274	3 4.8	--	Light Drizzle, Mist	Trace precipitation last hour.	
Wed Feb  3 02:08:40 2010	Indianapolis (46201)	Indianapolis, (KIND) as of 7:54pm EST (14 mago)	34 1 	28 -2 	79	30.06 1017.9 	12 10 	W260	 2500 762	10 16.1	25 -4 	Cloudy	No  this hour.	
Wed Feb  3 02:08:42 2010	Boston (02101)	Boston, MA (KBOS) as of 7:54pm EST (14 mago)	26 -3 	11-Dec	55	30.19 1022.2 	6 5 	S190	 22000 6706	10 16.1	19 -7 	Mostly Cloudy	No  this hour.	
Wed Feb  3 02:08:44 2010	Jacksonville (32099)	Jacksonville, FL (KNIP) as of 7:53pm EST (15 mago)	57 14 	51 11 	80	29.99 1015.6 	12 10 	NNW340	 1500 457	10 16.1	--	Cloudy	No  this hour.	
Wed Feb  3 02:08:46 2010	Coluus (43085)	Coluus, OH (KOSU) as of 7:53pm EST (15 mago)	36 2 	24 -4 	62	30.01 1016.2 	3 3 	NNW330	 5500 1676	10 16.1	33 1 	Cloudy	No  this hour.	
Wed Feb  3 02:08:48 2010	Dallas (75201)	Dallas, TX (KDAL) as of 6:53pm CST (15 mago)	48 9 	35 2 	60	30.20 1022.8 	Calm Calm	--	 26000 7925	10 16.1	--	Mostly Cloudy	No  this hour.	
Wed Feb  3 02:08:49 2010	Houston (77001)	Houston, TX (KHOU) as of 6:53pm CST (15 mago)	56 13 	48 9 	77	30.16 1021.4 	6 5 	ENE60	 3400 1036	10 16.1	--	Cloudy	No  this hour.	
Wed Feb  3 02:08:51 2010	Seattle (98101)	Seattle, WA (KBFI) as of 4:53pm PST (15 mago)	52 11 	39 4 	61	29.78 1008.6 	6 5 	NNW330	 20000 6096	10 16.1	--	Mostly Cloudy	No  this hour.	
Wed Feb  3 02:08:53 2010	Milwaukee (53201)	Milwaukee, WI (KMKE) as of 6:52pm CST (16 mago)	32 0 	27 -3 	81	30.02 1016.7 	3 3 	W270	 2700 823	3 4.8	29 -2 	Light Snow	Trace precipitation last hour.1" inches of snow on ground at 5:52pm CST .	
Wed Feb  3 02:08:55 2010	Detroit (48201)	Detroit, MI (KDET) as of 7:53pm EST (15 mago)	27 -3 	25 -4 	92	30.05 1017.5 	6 5 	SE140	 700 213	2 3.2	20 -7 	Light Snow, Mist	Trace precipitation last hour.	
Wed Feb  3 02:08:57 2010	Philadelphia (19019)	Philadelphia, PA (KPHL) as of 7:54pm EST (14 mago)	34 1 	19 -7 	56	30.14 1020.6 	5 4 	E80	 6500 1981	10 16.1	30 -1 	Cloudy	No  this hour.	Winter Weather Advisory Tue, Feb 2, 2:28pm EST Tue, Feb 2, 11:00pm EST 2 hrs, 51 minsNational Weather Service 
Wed Feb  3 02:59:17 2010	San Jose (95101)	San Jose, CA (KSJC) as of 5:53pm PST (6 mago)	55 13 	48 9 	80	29.83 1010.1 	Calm Calm	--	 12000 3658	10 16.1	--	Cloudy	Trace precipitation last hour.	
Wed Feb  3 02:59:19 2010	Charlotte (28201)	Charlotte, NC (KCLT) as of 8:52pm EST (7 mago)	37 3 	36 2 	96	30.00 1015.9 	3 3 	N350	 200 61	2 3.2	34 1 	 Mist	No  this hour.	Special Weather Statement Tue, Feb 2, 8:04pm EST Wed, Feb 3, 10:00am EST 13 hrsNational Weather Service 
Wed Feb  3 02:59:21 2010	San Diego (92101)	San Diego, CA (KSAN) as of 5:51pm PST (8 mago)	59 15 	51 11 	75	29.81 1009.5 	6 5 	NW320	 25000 7620	10 16.1	--	Mostly Cloudy	No  this hour.	Special Weather Statement Tue, Feb 2, 2:23pm PST Wed, Feb 3, 6:30pm PST 24 hrs, 30 minsNational Weather Service 
Wed Feb  3 02:59:23 2010	Denver (80214)	Broomfield, CO (KBJC) as of 6:50pm MST (9 mago)	37 3 	12-Oct	32	29.88 1012 	Calm Calm	--	 15000 4572	30 48.3	--	Mostly Cloudy	No  this hour.	
Wed Feb  3 02:59:24 2010	Memphis (37501)	Memphis, TN (KMEM) as of 7:53pm CST (6 mago)	37 3 	30 -1 	75	30.23 1023.8 	3 3 	WNW300	 Unlimited Unlimited	10 16.1	34 1 	Clear	No  this hour.	
Wed Feb  3 02:59:26 2010	Los Angeles (90001)	Hawthorne, CA (KHHR) as of 5:53pm PST (6 mago)	58 14 	50 10 	75	29.79 1008.9 	7 6 	W270	 Unlimited Unlimited	10 16.1	--	Clear	No  this hour.	
Wed Feb  3 02:59:28 2010	El Paso (79901)	El Paso, TX (KELP) as of 6:51pm MST (8 mago)	54 12 	34 1 	46	29.80 1009.1 	9 8 	ENE70	 22000 6706	10 16.1	--	Cloudy	No  this hour.	Special Weather Statement Tue, Feb 2, 2:41pm MST Wed, Feb 3, 5:00am MST 10 hrsNational Weather Service 
Wed Feb  3 02:59:30 2010	New York (10001)	New York City, NY (KNYC) as of 8:51pm EST (8 mago)	31 -1 	23 -5 	72	30.15 1021 	Calm Calm	--	 7000 2134	9 14.5	--	Cloudy	Lightning detector not working.	Special Weather Statement Tue, Feb 2, 7:54pm EST Tue, Feb 2, 9:45pm EST 45 minsNational Weather Service 
Wed Feb  3 02:59:32 2010	Baltimore (21201)	Baltimore, MD (KBWI) as of 8:54pm EST (5 mago)	30 -1 	28 -2 	96	30.10 1019.2 	3 3 	NNE20	 900 274	0.75 1.2	26 -3 	Light Snow, Mist	Snow intesity increasing rapidly. 1" fallen last hour, 2" on the ground. 0.05" of precipitation last hour.1" inches of snow on ground at 	Winter Storm Warning Tue, Feb 2, 3:35pm EST Tue, Feb 2, 11:45pm EST 2 hrs, 45 mins  Winter Storm Warning Tue, Feb 2, 6:19pm EST Wed, Feb 3, 2:30am EST 5 hrs, 30 mins  Winter Storm Warning Tue, Feb 2, 7:09pm EST Wed, Feb 3, 3:15am EST 6 hrs, 15 minsNational Weather Service 
Wed Feb  3 02:59:34 2010	Las Vegas (89101)	Las Vegas, NV (KVGT) as of 5:53pm PST (6 mago)	54 12 	34 1 	46	29.80 1009.1 	Calm Calm	--	 Unlimited Unlimited	10 16.1	--	Clear	Lightning detector not working.	
